List	Concept in common (total concepts in list)	Rank correlation with vi	Rank correlation with hi	Rank correlation with vi-hi
Swadesh100	99 (100)	-0.097	0.045	-0.13
Dyen rank (1975)	173 (196)	0.063	0.188	-0.15
Petroni & Serva	92 (100)	-0.114	0.286	-0.269
Pagel mean rate	176 (200)	0.144	0.367	-0.297
ASJP rank	99 (100)	-0.115	0.07	-0.128
Rama & Borin rank	99 (100)	-0.083	0.074	-0.146
Peust ranking	178 (180)	-0.057	0.235	-0.295
Tadmor score	97 (100)	-0.047	0.139	-0.162
Tadmor score (replica)	624 (1460)	0.036	-0.069	0.086
WOLD borrowed score	624 (1460)	-0.007	0.158	-0.133
WOLD age score	624 (1460)	0.048	0.053	-0.021
WOLD simplicity score	624 (1460)	0.042	0.161	-0.111
lgc	1014 (1016)	0.149	0.103	-0.018
inf	1014 (1016)	0.082	0.142	0.09
NELex rank	1014 (1016)	0.125	0.167	-0.078
