List	Concept in common (total concepts in list)	Rank correlation with vi	Rank correlation with hi	Rank correlation with vi-hi
Swadesh100	99 (100)	-0.283	0.072	-0.315
Dyen rank (1975)	173 (196)	0.101	0.207	-0.076
Petroni & Serva	92 (100)	0.146	0.131	-0.026
Pagel mean rate	176 (200)	0.305	0.133	0.13
ASJP rank	99 (100)	-0.026	0.199	-0.146
Rama & Borin rank	99 (100)	-0.102	0.14	-0.226
Peust ranking	178 (180)	0.228	0.135	0.07
Tadmor score	97 (100)	0.165	0.228	-0.029
Tadmor score (replica)	624 (1460)	0.239	-0.435	0.458
WOLD borrowed score	624 (1460)	-0.146	0.516	-0.439
WOLD age score	624 (1460)	0.203	-0.154	0.25
WOLD simplicity score	624 (1460)	0.139	0.086	0.044
lgc	1014 (1016)	0.388	-0.125	0.369
inf	1014 (1016)	0.26	-0.081	0.254
NELex rank	1014 (1016)	0.373	-0.115	0.357
