List	Concept in common (total concepts in list)	Rank correlation with vi	Rank correlation with hi	Rank correlation with vi-hi
Swadesh100	99 (100)	-0.029	-0.17	0.065
Dyen rank (1975)	173 (196)	-0.052	0.128	-0.149
Petroni & Serva	92 (100)	-0.235	0.113	-0.263
Pagel mean rate	176 (200)	-0.041	0.039	-0.075
ASJP rank	99 (100)	-0.023	0.095	-0.105
Rama & Borin rank	99 (100)	-0.127	-0.096	-0.055
Peust ranking	178 (180)	-0.068	0.109	-0.162
Tadmor score	97 (100)	-0.141	0.137	-0.215
Tadmor score (replica)	624 (1460)	0.126	-0.133	0.171
WOLD borrowed score	624 (1460)	-0.11	0.196	-0.192
WOLD age score	624 (1460)	0.07	0.025	0.036
WOLD simplicity score	624 (1460)	0.036	0.081	-0.028
lgc	1014 (1016)	0.341	0.066	0.23
inf	1014 (1016)	0.171	0.02	0.126
NELex rank	1014 (1016)	0.271	0.034	0.196
