Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
dreiNUM,Quantity,Numerical,0.844,0.145,0.699,1
FischN,Animals,Noun,0.867,0.172,0.695,2
BlutN,The body,Noun,0.851,0.178,0.674,3
leckenV,The body,Verb,0.822,0.149,0.672,4
dritterA,Quantity,Adjective,0.853,0.181,0.672,5
vierNUM,Quantity,Numerical,0.843,0.173,0.67,6
sechsNUM,Quantity,Numerical,0.853,0.189,0.665,7
zweiNUM,Quantity,Numerical,0.845,0.184,0.661,8
funfNUM,Quantity,Numerical,0.838,0.191,0.648,9
WinterN,Time,Noun,0.846,0.217,0.629,10
trockenA,Sense perception,Adjective,0.823,0.195,0.629,11
lesenV,Speech and language,Verb,0.827,0.201,0.626,12
OhrN,The body,Noun,0.831,0.211,0.62,13
sitzenV,Spatial relations,Verb,0.81,0.192,0.618,14
HalfteN,Quantity,Noun,0.826,0.21,0.616,15
neuA,Time,Adjective,0.807,0.195,0.612,16
dreiigNUM,NA,Numerical,0.802,0.191,0.611,17
trinkenV,Food and drink,Verb,0.84,0.231,0.609,18
HornN,The body,Noun,0.791,0.184,0.608,19
neunNUM,Quantity,Numerical,0.796,0.194,0.602,20
lebenV,The body,Verb,0.793,0.194,0.599,21
schluckenV,Food and drink,Verb,0.782,0.19,0.592,22
ihrPRN,Kinship,Pronoun,0.793,0.201,0.592,23
WolkeN,The physical world,Noun,0.786,0.199,0.586,24
zehnNUM,Quantity,Numerical,0.783,0.2,0.584,25
ichPRN,Kinship,Pronoun,0.784,0.202,0.583,26
sterbenV,The body,Verb,0.822,0.241,0.581,27
ArmN,The body,Noun,0.822,0.242,0.579,28
TagN,Time,Noun,0.789,0.21,0.579,29
MitteN,Spatial relations,Noun,0.79,0.212,0.578,30
SchlafN,NA,Noun,0.774,0.197,0.578,31
FliegeN,Animals,Noun,0.798,0.222,0.577,32
stehenV,Spatial relations,Verb,0.791,0.215,0.576,33
sechzigNUM,NA,Numerical,0.775,0.199,0.576,34
SteinN,NA,Noun,0.786,0.211,0.575,35
