Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
FischN,Animals,Noun,0.882,0.294,0.588,1
AderN,NA,Noun,0.802,0.233,0.569,2
neuA,Time,Adjective,0.874,0.316,0.558,3
GoldN,Basic actions and technology,Noun,0.771,0.244,0.527,4
ButterN,Food and drink,Noun,0.857,0.358,0.499,5
FigurN,Religion and belief,Noun,0.755,0.257,0.498,6
SaatN,Agriculture and vegetation,Noun,0.777,0.283,0.494,7
legenV,NA,Verb,0.782,0.291,0.491,8
fluchtenV,NA,Verb,0.705,0.216,0.489,9
einmalADV,NA,Adverb,0.743,0.266,0.477,10
nahA,Spatial relations,Adjective,0.802,0.326,0.476,11
HonigN,Food and drink,Noun,0.725,0.249,0.476,12
groA,Spatial relations,Adjective,0.749,0.274,0.474,13
schuttenV,Basic actions and technology,Verb,0.725,0.251,0.474,14
bindenV,Basic actions and technology,Verb,0.772,0.299,0.473,15
dichtA,NA,Adjective,0.765,0.297,0.468,16
undCNJ,Cognition,Conjunction,0.756,0.29,0.466,17
BuchtN,The physical world,Noun,0.777,0.317,0.459,18
BrettN,The house,Noun,0.816,0.359,0.457,19
lebenV,The body,Verb,0.791,0.338,0.453,20
treibenV,NA,Verb,0.812,0.36,0.452,21
wendenV,NA,Verb,0.765,0.312,0.452,22
TanteN,Kinship,Noun,0.706,0.256,0.449,23
bedeckenV,Spatial relations,Verb,0.716,0.267,0.448,24
FalleN,Warfare and hunting,Noun,0.718,0.27,0.448,25
lustigA,NA,Adjective,0.674,0.231,0.443,26
SpitzeN,NA,Noun,0.728,0.286,0.442,27
stohnenV,Emotions and values,Verb,0.756,0.314,0.442,28
wechselnV,NA,Verb,0.782,0.341,0.441,29
zusehenseinV,NA,Verb,0.817,0.377,0.44,30
rauschenV,NA,Verb,0.73,0.293,0.437,31
LuftN,The physical world,Noun,0.872,0.438,0.434,32
RuheN,Sense perception,Noun,0.676,0.242,0.434,33
schwenkenV,NA,Verb,0.747,0.314,0.433,34
sichversammelnV,Social and political relations,Verb,0.7,0.267,0.433,35
stumpfA,Sense perception,Adjective,0.777,0.345,0.432,36
lesenV,Speech and language,Verb,0.717,0.287,0.43,37
erscheinenV,NA,Verb,0.778,0.348,0.43,38
gefrierenV,The physical world,Verb,0.721,0.292,0.43,39
verbessernV,NA,Verb,0.775,0.348,0.427,40
fallenV,Motion,Verb,0.765,0.339,0.426,41
NachrichtN,NA,Noun,0.887,0.462,0.425,42
fragenV,Speech and language,Verb,0.729,0.304,0.425,43
bitterA,Sense perception,Adjective,0.816,0.391,0.425,44
vorPRP,Spatial relations,Preposition,0.782,0.358,0.424,45
KusteN,NA,Noun,0.733,0.311,0.422,46
hangenV,NA,Verb,0.803,0.382,0.421,47
rechterA,Spatial relations,Adjective,0.82,0.4,0.421,48
fegenV,Basic actions and technology,Verb,0.756,0.337,0.419,49
stellenV,Spatial relations,Verb,0.738,0.32,0.418,50
GewaltN,NA,Noun,0.741,0.325,0.417,51
badenV,The body,Verb,0.743,0.328,0.415,52
oderCNJ,Cognition,Conjunction,0.846,0.431,0.415,53
vergessenV,Cognition,Verb,0.862,0.448,0.414,54
anzundenV,The physical world,Verb,0.778,0.367,0.412,55
danachADV,NA,Adverb,0.71,0.301,0.41,56
trocknenV,NA,Verb,0.812,0.405,0.408,57
verschiedenA,NA,Adjective,0.751,0.344,0.407,58
