Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
HakenN,Spatial relations,Noun,0.369,0.181,0.188,1
BartN,The body,Noun,0.38,0.205,0.175,2
MeerN,The physical world,Noun,0.394,0.23,0.163,3
GromutterN,Kinship,Noun,0.302,0.141,0.16,4
PfadN,Motion,Noun,0.329,0.17,0.159,5
blauA,Sense perception,Adjective,0.409,0.255,0.155,6
GottN,NA,Noun,0.306,0.159,0.147,7
soADV,NA,Adverb,0.328,0.187,0.14,8
lassenV,NA,Verb,0.262,0.126,0.136,9
GewaltN,NA,Noun,0.265,0.13,0.134,10
wehenV,Motion,Verb,0.335,0.208,0.127,11
SundeN,NA,Noun,0.296,0.17,0.126,12
genesenV,NA,Verb,0.279,0.154,0.125,13
SchrittN,NA,Noun,0.263,0.14,0.123,14
bemerkenV,NA,Verb,0.278,0.16,0.118,15
GeschaftN,NA,Noun,0.241,0.123,0.118,16
MesserN,Basic actions and technology,Noun,0.286,0.169,0.117,17
trocknenV,NA,Verb,0.272,0.16,0.112,18
LichtN,The physical world,Noun,0.272,0.162,0.11,19
NestN,Animals,Noun,0.33,0.221,0.109,20
PuppeN,NA,Noun,0.258,0.149,0.108,21
glaubenV,Cognition,Verb,0.28,0.172,0.108,22
sichdrehenV,NA,Verb,0.266,0.158,0.108,23
SchmutzN,NA,Noun,0.262,0.155,0.107,24
MutterN,Kinship,Noun,0.345,0.238,0.107,25
SchlafN,NA,Noun,0.307,0.201,0.106,26
einmalADV,NA,Adverb,0.239,0.134,0.106,27
tretenV,Motion,Verb,0.267,0.162,0.105,28
ArmelN,NA,Noun,0.261,0.157,0.104,29
kehrenV,Basic actions and technology,Verb,0.26,0.157,0.103,30
AstN,NA,Noun,0.268,0.165,0.103,31
arbeitenV,NA,Verb,0.246,0.144,0.102,32
zerstorenV,Possession,Verb,0.236,0.134,0.102,33
RedeN,Speech and language,Noun,0.253,0.151,0.102,34
wiederADV,Time,Adverb,0.263,0.161,0.101,35
wohnenV,The house,Verb,0.224,0.123,0.101,36
MusterN,NA,Noun,0.231,0.131,0.1,37
breitA,Spatial relations,Adjective,0.308,0.208,0.099,38
rauschenV,NA,Verb,0.22,0.12,0.099,39
wieFADV,Cognition,Interrogative (adv.),0.265,0.165,0.099,40
schmalA,Spatial relations,Adjective,0.244,0.146,0.099,41
FrauN,Kinship,Noun,0.235,0.137,0.098,42
HeimN,NA,Noun,0.242,0.144,0.098,43
