Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
lebendigA,NA,Adjective,0.788,0.179,0.609,1
regnenV,NA,Verb,0.784,0.182,0.602,2
funfzigNUM,NA,Numerical,0.745,0.158,0.587,3
fliehenV,Motion,Verb,0.742,0.156,0.586,4
neunzigNUM,NA,Numerical,0.741,0.163,0.578,5
LangeN,NA,Noun,0.74,0.166,0.574,6
sechzigNUM,NA,Numerical,0.747,0.184,0.564,7
weckenV,NA,Verb,0.712,0.149,0.563,8
tunV,Basic actions and technology,Verb,0.758,0.204,0.554,9
RegenN,The physical world,Noun,0.738,0.184,0.553,10
lachenV,Emotions and values,Verb,0.7,0.147,0.553,11
neunNUM,Quantity,Numerical,0.768,0.218,0.55,12
GrasN,Agriculture and vegetation,Noun,0.727,0.178,0.549,13
sagenV,Speech and language,Verb,0.747,0.198,0.549,14
zehnNUM,Quantity,Numerical,0.762,0.216,0.546,15
einschlafenV,NA,Verb,0.704,0.161,0.543,16
fliegenV,Motion,Verb,0.692,0.149,0.542,17
feuchtA,NA,Adjective,0.732,0.192,0.541,18
verkaufenV,Possession,Verb,0.757,0.217,0.539,19
stehlenV,Law,Verb,0.7,0.162,0.537,20
KohleN,The physical world,Noun,0.733,0.197,0.535,21
KalteN,NA,Noun,0.716,0.181,0.535,22
SteinN,NA,Noun,0.684,0.15,0.535,23
zuhorenV,Sense perception,Verb,0.724,0.189,0.534,24
hellA,Sense perception,Adjective,0.723,0.19,0.534,25
SchattenN,The physical world,Noun,0.755,0.222,0.533,26
laufenV,Motion,Verb,0.677,0.146,0.531,27
RegenbogenN,The physical world,Noun,0.743,0.213,0.531,28
gebenV,Possession,Verb,0.728,0.198,0.53,29
wieFADV,Cognition,Interrogative (adv.),0.684,0.155,0.529,30
rohA,Food and drink,Adjective,0.737,0.209,0.528,31
HoheN,NA,Noun,0.695,0.167,0.528,32
bitterA,Sense perception,Adjective,0.71,0.182,0.528,33
FrostN,NA,Noun,0.726,0.201,0.525,34
ZehN,The body,Noun,0.679,0.154,0.525,35
rauchenV,NA,Verb,0.725,0.202,0.523,36
warmA,Sense perception,Adjective,0.67,0.147,0.523,37
rennenV,Motion,Verb,0.687,0.166,0.521,38
KopfN,The body,Noun,0.696,0.176,0.519,39
abschneidenV,NA,Verb,0.677,0.159,0.518,40
FliegeN,Animals,Noun,0.75,0.232,0.518,41
ersterA,Quantity,Adjective,0.69,0.172,0.518,42
BirkeN,Agriculture and vegetation,Noun,0.686,0.171,0.516,43
TropfenN,NA,Noun,0.724,0.208,0.516,44
HitzeN,NA,Noun,0.702,0.187,0.515,45
machenV,Basic actions and technology,Verb,0.685,0.171,0.514,46
flieenV,Motion,Verb,0.689,0.176,0.513,47
hartA,Sense perception,Adjective,0.712,0.2,0.512,48
rechterA,Spatial relations,Adjective,0.686,0.175,0.511,49
BaumN,Agriculture and vegetation,Noun,0.695,0.184,0.511,50
stohnenV,Emotions and values,Verb,0.748,0.238,0.51,51
WindN,The physical world,Noun,0.71,0.204,0.506,52
kehrenV,Basic actions and technology,Verb,0.697,0.191,0.506,53
hustenV,The body,Verb,0.697,0.191,0.506,54
StutzeN,NA,Noun,0.674,0.17,0.504,55
stromenV,NA,Verb,0.669,0.165,0.504,56
morgenADV,Time,Adverb,0.699,0.198,0.501,57
GelachterN,NA,Noun,0.667,0.165,0.501,58
hierADV,Miscellaneous function words,Adverb,0.658,0.164,0.494,59
HaseN,Animals,Noun,0.699,0.206,0.492,60
wievielFNUM,Cognition,Interrogative (num.),0.69,0.2,0.491,61
MannN,Kinship,Noun,0.707,0.218,0.49,62
NagelAnatomieN,NA,Noun,0.715,0.227,0.489,63
JahrN,Time,Noun,0.732,0.245,0.488,64
unterPRP,Spatial relations,Preposition,0.626,0.14,0.486,65
hangenV,NA,Verb,0.682,0.197,0.485,66
hundertNUM,Quantity,Numerical,0.677,0.193,0.484,67
vollA,Quantity,Adjective,0.728,0.245,0.483,68
breitA,Spatial relations,Adjective,0.639,0.156,0.483,69
GegenstandN,NA,Noun,0.661,0.18,0.481,70
WasserN,The physical world,Noun,0.689,0.209,0.479,71
MundN,The body,Noun,0.669,0.191,0.478,72
offenA,NA,Adjective,0.704,0.226,0.478,73
schwimmenV,Motion,Verb,0.689,0.212,0.477,74
fernA,Spatial relations,Adjective,0.66,0.184,0.476,75
erkennenV,NA,Verb,0.651,0.174,0.476,76
zuerstADV,NA,Adverb,0.69,0.214,0.476,77
HautN,The body,Noun,0.675,0.199,0.476,78
HaarN,NA,Noun,0.693,0.217,0.475,79
steckenV,NA,Verb,0.653,0.178,0.475,80
NetzN,NA,Noun,0.679,0.205,0.474,81
SeiteN,NA,Noun,0.734,0.26,0.474,82
GurtelN,Clothing and grooming,Noun,0.641,0.167,0.473,83
fegenV,Basic actions and technology,Verb,0.653,0.181,0.472,84
backenV,Food and drink,Verb,0.715,0.243,0.472,85
hebenV,NA,Verb,0.638,0.166,0.472,86
