Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
FischN,Animals,Noun,0.873,0.286,0.587,1
neuA,Time,Adjective,0.867,0.286,0.58,2
AderN,NA,Noun,0.802,0.234,0.568,3
FigurN,Religion and belief,Noun,0.761,0.219,0.541,4
legenV,NA,Verb,0.78,0.252,0.528,5
undCNJ,Cognition,Conjunction,0.776,0.266,0.509,6
groA,Spatial relations,Adjective,0.748,0.248,0.5,7
GoldN,Basic actions and technology,Noun,0.75,0.252,0.498,8
SaatN,Agriculture and vegetation,Noun,0.773,0.278,0.495,9
BrettN,The house,Noun,0.781,0.302,0.479,10
BuchtN,The physical world,Noun,0.784,0.305,0.479,11
schuttenV,Basic actions and technology,Verb,0.729,0.25,0.479,12
nahA,Spatial relations,Adjective,0.797,0.322,0.476,13
RuheN,Sense perception,Noun,0.698,0.222,0.476,14
fluchtenV,NA,Verb,0.699,0.226,0.473,15
treibenV,NA,Verb,0.81,0.339,0.471,16
wendenV,NA,Verb,0.758,0.29,0.468,17
dichtA,NA,Adjective,0.755,0.287,0.468,18
LuftN,The physical world,Noun,0.851,0.387,0.464,19
fallenV,Motion,Verb,0.754,0.291,0.463,20
erscheinenV,NA,Verb,0.791,0.329,0.462,21
fragenV,Speech and language,Verb,0.735,0.277,0.458,22
ButterN,Food and drink,Noun,0.829,0.373,0.456,23
wechselnV,NA,Verb,0.796,0.34,0.456,24
gefrierenV,The physical world,Verb,0.733,0.278,0.455,25
bitterA,Sense perception,Adjective,0.801,0.347,0.454,26
verbessernV,NA,Verb,0.773,0.321,0.452,27
lebenV,The body,Verb,0.794,0.343,0.45,28
bindenV,Basic actions and technology,Verb,0.776,0.326,0.45,29
HonigN,Food and drink,Noun,0.723,0.273,0.45,30
FalleN,Warfare and hunting,Noun,0.701,0.252,0.448,31
schwenkenV,NA,Verb,0.728,0.281,0.447,32
sichversammelnV,Social and political relations,Verb,0.687,0.241,0.446,33
NachrichtN,NA,Noun,0.883,0.439,0.443,34
rauschenV,NA,Verb,0.725,0.283,0.442,35
lesenV,Speech and language,Verb,0.696,0.257,0.439,36
trocknenV,NA,Verb,0.835,0.397,0.438,37
langA,Spatial relations,Adjective,0.831,0.395,0.436,38
stohnenV,Emotions and values,Verb,0.762,0.328,0.434,39
SpitzeN,NA,Noun,0.702,0.27,0.432,40
vernehmenV,NA,Verb,0.694,0.263,0.431,41
stellenV,Spatial relations,Verb,0.744,0.313,0.431,42
KusteN,NA,Noun,0.729,0.299,0.431,43
laufenV,Motion,Verb,0.748,0.317,0.43,44
GromutterN,Kinship,Noun,0.768,0.339,0.429,45
essenV,Food and drink,Verb,0.731,0.303,0.428,46
