Concept,semantic_fiel,POS,vi,hi,vi-hi,Rank
dreiNUM,Quantity,Numerical,0.87,0.18,0.691,1
zweiNUM,Quantity,Numerical,0.867,0.187,0.68,2
leckenV,The body,Verb,0.847,0.178,0.669,3
BlutN,The body,Noun,0.861,0.196,0.666,4
FischN,Animals,Noun,0.869,0.205,0.664,5
dritterA,Quantity,Adjective,0.868,0.206,0.662,6
neuA,Time,Adjective,0.851,0.196,0.655,7
vierNUM,Quantity,Numerical,0.857,0.204,0.653,8
sechsNUM,Quantity,Numerical,0.859,0.211,0.649,9
gebenV,Possession,Verb,0.805,0.167,0.637,10
funfNUM,Quantity,Numerical,0.864,0.227,0.637,11
OhrN,The body,Noun,0.828,0.193,0.635,12
dreiigNUM,NA,Numerical,0.834,0.211,0.623,13
WinterN,Time,Noun,0.864,0.243,0.621,14
lesenV,Speech and language,Verb,0.817,0.199,0.618,15
trinkenV,Food and drink,Verb,0.851,0.234,0.617,16
HornN,The body,Noun,0.797,0.181,0.616,17
kaufenV,Possession,Verb,0.825,0.21,0.615,18
trockenA,Sense perception,Adjective,0.832,0.218,0.614,19
zehnNUM,Quantity,Numerical,0.798,0.184,0.614,20
sitzenV,Spatial relations,Verb,0.816,0.209,0.607,21
lebenV,The body,Verb,0.813,0.213,0.6,22
ArmN,The body,Noun,0.826,0.226,0.6,23
neunNUM,Quantity,Numerical,0.799,0.202,0.598,24
HalfteN,Quantity,Noun,0.838,0.243,0.594,25
ihrPRN,Kinship,Pronoun,0.824,0.235,0.588,26
stehenV,Spatial relations,Verb,0.814,0.226,0.588,27
SchneeN,The physical world,Noun,0.821,0.234,0.587,28
WindN,The physical world,Noun,0.826,0.243,0.583,29
achtNUM,Quantity,Numerical,0.786,0.205,0.581,30
NachtN,Time,Noun,0.796,0.215,0.581,31
MitteN,Spatial relations,Noun,0.797,0.217,0.58,32
SchlafN,NA,Noun,0.795,0.217,0.578,33
TagN,Time,Noun,0.839,0.262,0.577,34
EisN,The physical world,Noun,0.8,0.225,0.574,35
TraumN,NA,Noun,0.772,0.2,0.572,36
MausN,NA,Noun,0.791,0.221,0.57,37
ZungeN,The body,Noun,0.79,0.221,0.569,38
sterbenV,The body,Verb,0.836,0.268,0.568,39
MonatN,Time,Noun,0.864,0.296,0.568,40
WolkeN,The physical world,Noun,0.795,0.229,0.567,41
ichPRN,Kinship,Pronoun,0.793,0.228,0.565,42
schluckenV,Food and drink,Verb,0.793,0.23,0.563,43
SpracheN,Speech and language,Noun,0.767,0.204,0.563,44
FeuerN,The physical world,Noun,0.755,0.194,0.561,45
sechzigNUM,NA,Numerical,0.794,0.235,0.559,46
sagenV,Speech and language,Verb,0.766,0.207,0.559,47
ZahnN,The body,Noun,0.768,0.21,0.558,48
HundN,Animals,Noun,0.783,0.225,0.558,49
FliegeN,Animals,Noun,0.811,0.255,0.556,50
SohnN,Kinship,Noun,0.817,0.261,0.556,51
NagelAnatomieN,NA,Noun,0.773,0.218,0.554,52
NameN,Speech and language,Noun,0.839,0.286,0.553,53
SteinN,NA,Noun,0.783,0.233,0.551,54
SonneN,The physical world,Noun,0.762,0.213,0.549,55
NaseN,The body,Noun,0.75,0.209,0.541,56
melkenV,Food and drink,Verb,0.769,0.229,0.54,57
NestN,Animals,Noun,0.783,0.244,0.539,58
sehenV,Sense perception,Verb,0.754,0.214,0.539,59
TodN,NA,Noun,0.798,0.26,0.538,60
heulenV,Speech and language,Verb,0.849,0.311,0.538,61
wissenV,Cognition,Verb,0.783,0.247,0.537,62
KohleN,The physical world,Noun,0.776,0.243,0.533,63
fullenV,NA,Verb,0.748,0.217,0.532,64
nahenV,Clothing and grooming,Verb,0.745,0.214,0.531,65
verkaufenV,Possession,Verb,0.757,0.228,0.529,66
GottN,NA,Noun,0.732,0.204,0.528,67
kommenV,Motion,Verb,0.761,0.233,0.527,68
vollA,Quantity,Adjective,0.726,0.201,0.525,69
funfzigNUM,NA,Numerical,0.734,0.21,0.524,70
AderN,NA,Noun,0.785,0.262,0.524,71
lachenV,Emotions and values,Verb,0.74,0.218,0.522,72
EisenN,Basic actions and technology,Noun,0.738,0.217,0.521,73
KnochenN,The body,Noun,0.744,0.222,0.521,74
siebzigNUM,NA,Numerical,0.739,0.218,0.521,75
EiN,Food and drink,Noun,0.768,0.25,0.518,76
zwolfNUM,Quantity,Numerical,0.732,0.215,0.517,77
HaseN,Animals,Noun,0.733,0.216,0.517,78
hundertNUM,Quantity,Numerical,0.779,0.265,0.515,79
AugeN,The body,Noun,0.703,0.189,0.514,80
sichsetzenV,NA,Verb,0.745,0.236,0.51,81
RauchN,The physical world,Noun,0.74,0.232,0.507,82
ersterA,Quantity,Adjective,0.719,0.213,0.506,83
furchtenV,NA,Verb,0.738,0.232,0.506,84
hustenV,The body,Verb,0.744,0.239,0.505,85
fischenV,NA,Verb,0.736,0.231,0.505,86
schreibenV,Speech and language,Verb,0.77,0.266,0.504,87
wasFPRN,Cognition,Interrogative (pronoun),0.808,0.304,0.504,88
FreundN,Social and political relations,Noun,0.739,0.236,0.504,89
nehmenV,Possession,Verb,0.717,0.214,0.503,90
KnieN,The body,Noun,0.741,0.24,0.501,91
SommerN,Time,Noun,0.733,0.234,0.499,92
FingernagelN,The body,Noun,0.74,0.241,0.498,93
vierzigNUM,NA,Numerical,0.712,0.216,0.496,94
KnotenN,Basic actions and technology,Noun,0.76,0.265,0.495,95
TochterN,Kinship,Noun,0.751,0.259,0.492,96
MilchN,Food and drink,Noun,0.802,0.311,0.491,97
TurN,The house,Noun,0.733,0.243,0.491,98
vernehmenV,NA,Verb,0.718,0.228,0.491,99
TropfenN,NA,Noun,0.748,0.258,0.49,100
erkennenV,NA,Verb,0.755,0.265,0.49,101
GelachterN,NA,Noun,0.736,0.249,0.487,102
zuhorenV,Sense perception,Verb,0.701,0.215,0.486,103
KopfN,The body,Noun,0.7,0.215,0.485,104
liegenV,NA,Verb,0.762,0.28,0.483,105
schwarzA,Sense perception,Adjective,0.718,0.236,0.483,106
lebendigA,NA,Adjective,0.712,0.229,0.482,107
SeeN,The physical world,Noun,0.775,0.294,0.481,108
bitterA,Sense perception,Adjective,0.715,0.234,0.481,109
verfaulenV,NA,Verb,0.739,0.258,0.481,110
SternN,The physical world,Noun,0.705,0.226,0.479,111
PfeilN,Warfare and hunting,Noun,0.747,0.27,0.477,112
LausN,NA,Noun,0.712,0.235,0.477,113
neunzigNUM,NA,Numerical,0.7,0.225,0.476,114
SchaumN,The physical world,Noun,0.767,0.293,0.474,115
flieenV,Motion,Verb,0.732,0.258,0.474,116
LeberN,The body,Noun,0.698,0.227,0.471,117
MutterN,Kinship,Noun,0.759,0.289,0.47,118
BruderN,Kinship,Noun,0.712,0.242,0.47,119
backenV,Food and drink,Verb,0.694,0.226,0.469,120
nennenV,Speech and language,Verb,0.732,0.265,0.467,121
weckenV,NA,Verb,0.698,0.231,0.467,122
brennenV,The physical world,Verb,0.74,0.273,0.467,123
FlugelN,The body,Noun,0.705,0.238,0.466,124
weichA,Sense perception,Adjective,0.763,0.299,0.465,125
umkommenV,NA,Verb,0.693,0.229,0.464,126
dunkelA,Sense perception,Adjective,0.678,0.215,0.463,127
MondN,The physical world,Noun,0.717,0.254,0.463,128
einsNUM,Quantity,Numerical,0.735,0.274,0.461,129
kurzA,Spatial relations,Adjective,0.723,0.263,0.46,130
GeistN,NA,Noun,0.762,0.303,0.459,131
zwanzigNUM,Quantity,Numerical,0.682,0.224,0.458,132
BartN,The body,Noun,0.839,0.385,0.455,133
waschenV,Basic actions and technology,Verb,0.698,0.244,0.454,134
OstenN,Spatial relations,Noun,0.677,0.225,0.452,135
horenV,Sense perception,Verb,0.702,0.25,0.452,136
ArmelN,NA,Noun,0.74,0.289,0.45,137
altA,NA,Adjective,0.68,0.232,0.448,138
elfNUM,Quantity,Numerical,0.674,0.226,0.448,139
MesserN,Basic actions and technology,Noun,0.676,0.229,0.448,140
ButterN,Food and drink,Noun,0.736,0.288,0.447,141
FuchsN,Animals,Noun,0.678,0.231,0.447,142
HautN,The body,Noun,0.689,0.242,0.447,143
schlafenV,The body,Verb,0.685,0.238,0.447,144
trocknenV,NA,Verb,0.66,0.215,0.444,145
sichfurchtenV,NA,Verb,0.668,0.224,0.444,146
vorbereitenV,NA,Verb,0.65,0.209,0.441,147
KornN,NA,Noun,0.703,0.265,0.438,148
rauchenV,NA,Verb,0.681,0.242,0.438,149
achtzigNUM,NA,Numerical,0.642,0.205,0.437,150
FleischN,Food and drink,Noun,0.66,0.225,0.435,151
faulenV,NA,Verb,0.653,0.218,0.435,152
duPRN,Kinship,Pronoun,0.833,0.399,0.434,153
BogenWaffeN,Warfare and hunting,Noun,0.729,0.295,0.434,154
TraneN,Emotions and values,Noun,0.649,0.215,0.434,155
bekommenV,Possession,Verb,0.653,0.22,0.433,156
ErdeN,NA,Noun,0.686,0.257,0.429,157
BeinN,The body,Noun,0.637,0.211,0.426,158
